nrideoutmi@nsu.edu,315,brushes and applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,4
nrideoutmi@nsu.edu,270,bodysuit,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,$120 ,2
ndutchburnel@nsu.edu,317,Cooking accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,5
wlaurancegt@nsu.edu,91,Clothing,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,$120 ,4
wlaurancegt@nsu.edu,124,Cell Phones,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",5
wlaurancegt@nsu.edu,225,bodysuit,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,$120 ,1
rdichee@adobe.com,6,Kitchen & cooking accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,3
dmccritchiej3@nsu.edu,109,makeup,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,5
ghalvorsen95@nsu.edu,106,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,0
ghalvorsen95@nsu.edu,192,tops,Oversized T-shirt,Skeleton Hand Print Oversized tee,Attractive tee,$110 ,0
predittjv@nsu.edu,251,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,0
dnaughton9f@nsu.edu,260,iPhone,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",5
rpointn@globo.com,375,makeup,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,3
wspadelli8j@nsu.edu,29,Cooking accessories,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,3
wspadelli8j@nsu.edu,355,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,4
gdowtry4j@nsu.edu,292,Cell Phones,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",5
clelievre1q@spiegel.de,364,t-shirts,Oversized T-shirt,Skeleton Hand Print Oversized tee,Attractive tee,$110 ,5
jspraggon8f@nsu.edu,76,Cooking accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,4
jkasman1i@histats.com,285,lip,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,2
spinwillhg@nsu.edu,45,Cooking accessories,Double boiler insert,Double boiler insert_for_all,Boiler,$35 ,1
cmaxted8c@nsu.edu,65,Samsung,Samsung Galaxy,S22,Powerful Android,$850 ,4
kfeeney30@nsu.edu,215,Kitchen & cooking accessories,Mixing bowl,Mr.Mixing bowl,Bowl,$50 ,3
dcordeniw@nsu.edu,164,tops,Oversized T-shirt,Skeleton Hand Print Oversized tee,Attractive tee,$110 ,5
cosgar8u@nsu.edu,185,brushes and applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,3
ldickinsbh@nsu.edu,327,lip,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,3
bdeavenell7o@nsu.edu,399,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,0
amaccathayam@nsu.edu,74,makeup,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,0
bstrangeri3@nsu.edu,4,Cell Phones,iPhone,13 Pro Max,New iPhone Model,"$1,100 ",5
bbartkowiak6t@nsu.edu,33,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,$90 ,5
amarkosn0@nsu.edu,35,bodysuit,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,$120 ,4
cmcpolindw@nsu.edu,354,t-shirts,Oversized T-shirt,Skeleton Hand Print Oversized tee,Attractive tee,$110 ,5
dbrinkworth7i@nsu.edu,263,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,1
tappleton2n@delicious.com,392,bodysuit,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,$120 ,4
gcordall73@nsu.edu,89,Cell Phones,Samsung Galaxy,S22,Powerful Android,$850 ,3
