dvolettb@nsu.edu,nrideoutmi@nsu.edu,10/26/21,4,Awesome
arubertelli0@nsu.edu,nrideoutmi@nsu.edu,7/31/21,4,Awesome
tdoveston1@nsu.edu,ndutchburnel@nsu.edu,2/26/22,1,Bad
dcavilla7@nsu.edu,wlaurancegt@nsu.edu,11/27/21,3,Not Bad
fenrrico4@nsu.edu,wlaurancegt@nsu.edu,4/10/21,1,Bad
fbehling6@nsu.edu,predittjv@nsu.edu,3/15/21,2,Not Bad
dcavilla7@nsu.edu,dnaughton9f@nsu.edu,11/12/21,2,Not Bad
dsinkinson8@nsu.edu,rpointn@globo.com,2/1/22,3,Not Bad
fbehling6@nsu.edu,wspadelli8j@nsu.edu,9/7/21,5,Awesome
esaltrese9@nsu.edu,wspadelli8j@nsu.edu,5/26/21,5,Awesome
rgurnera@nsu.edu,gdowtry4j@nsu.edu,1/17/22,4,Awesome
dvolettb@nsu.edu,clelievre1q@spiegel.de,4/28/21,1,Bad
dmcguggyc@nsu.edu,jspraggon8f@nsu.edu,3/4/21,2,Not Bad
agirodond@nsu.edu,jkasman1i@histats.com,12/10/21,5,Awesome
wvanellie@nsu.edu,spinwillhg@nsu.edu,7/8/21,2,Not Bad
ctowllf@nsu.edu,cmaxted8c@nsu.edu,6/25/21,4,Awesome
ageillg@nsu.edu,kfeeney30@nsu.edu,3/21/21,4,Awesome
ibossinghamh@nsu.edu,dcordeniw@nsu.edu,2/16/22,4,Awesome
nsemeradp@nsu.edu,cmcpolindw@nsu.edu,3/16/21,5,Awesome
dgoodbarrq@nsu.edu,dbrinkworth7i@nsu.edu,8/27/21,4,Awesome
lticknerr@nsu.edu,tappleton2n@delicious.com,7/14/21,5,Awesome
jsoutherns@nsu.edu,gcordall73@nsu.edu,7/5/21,1,Bad
tplutherot@nsu.edu,dbarrowcloughlz@nsu.edu,8/31/21,1,Bad
hshippu@nsu.edu,nheckjx@nsu.edu,12/22/21,3,Not Bad
acokev@nsu.edu,bspottiswoodhm@nsu.edu,9/15/21,1,Bad
ncamelliw@nsu.edu,gmosconegr@nsu.edu,7/5/21,2,Not Bad
ufriendx@nsu.edu,akelby20@drupal.org,7/22/21,1,Bad
asaveryy@nsu.edu,lbyrdgk@nsu.edu,3/29/21,3,Not Bad
tschinettiz@nsu.edu,mlempertz10@yandex.ru,4/14/21,2,Not Bad
ecancelier10@nsu.edu,zcowl7l@nsu.edu,1/17/22,2,Not Bad
echristescu11@nsu.edu,asimonsen7z@nsu.edu,3/27/21,5,Awesome
mbrumby12@nsu.edu,pslidders4f@nsu.edu,11/22/21,1,Bad
hbickell13@nsu.edu,awillderjq@nsu.edu,9/2/21,4,Awesome
mgorgen14@nsu.edu,avenablesi@salon.com,12/10/21,4,Awesome
dmetson15@nsu.edu,cmcallof@nsu.edu,9/4/21,2,Not Bad
cbacop16@nsu.edu,lsekulla8w@nsu.edu,11/21/21,4,Awesome
baddeycott17@nsu.edu,atorrejon3c@nsu.edu,8/4/21,3,Not Bad
bbauldrey18@nsu.edu,hmccurts@vinaora.com,7/10/21,1,Bad
scallinan19@nsu.edu,alillecrop1u@about.com,5/5/21,2,Not Bad
tdomingues1a@nsu.edu,ofumagalliqv@nsu.edu,3/29/21,1,Bad
smahony1b@nsu.edu,wsemechikci@nsu.edu,1/27/22,1,Bad
pcondon1c@nsu.edu,ttremollet2t@nsu.edu,9/20/21,3,Not Bad
sbussy1d@nsu.edu,srubinivitzlu@nsu.edu,8/6/21,4,Awesome
esavile1e@nsu.edu,ascohiergc@nsu.edu,2/13/22,5,Awesome
kcoughlan1f@nsu.edu,ihannondki@nsu.edu,5/15/21,1,Bad
faisman1g@nsu.edu,avirr66@nsu.edu,5/5/21,1,Bad
ymargarson1h@nsu.edu,dgoodenoughgs@nsu.edu,4/5/21,1,Bad
cstrooband1i@nsu.edu,rscampm5@nsu.edu,7/23/21,5,Awesome
elosebie1j@nsu.edu,kkiesselhe@nsu.edu,9/26/21,5,Awesome
lthursby1k@nsu.edu,tkorting48@nsu.edu,11/15/21,1,Bad
hraffin1l@nsu.edu,mbuesdennk@nsu.edu,5/24/21,5,Awesome
ajancey1m@nsu.edu,rcayton5r@nsu.edu,6/16/21,4,Awesome
sbecks1n@nsu.edu,selliker1v@ibm.com,1/14/22,3,Not Bad
dfahrenbach1o@nsu.edu,rstanwixm3@nsu.edu,8/13/21,4,Awesome
ehaglinton1p@nsu.edu,ehaspineallfb@nsu.edu,9/1/21,4,Awesome
mangeau1q@nsu.edu,onewlindl@nsu.edu,3/13/21,1,Bad
lsturley1r@nsu.edu,gdeblaseer@nsu.edu,8/10/21,5,Awesome
wberthon1s@nsu.edu,vcawr7@nsu.edu,3/3/21,1,Bad
tmoberley20@nsu.edu,glibbie7q@nsu.edu,2/4/22,4,Awesome
ajancey1m@nsu.edu,glibbie7q@nsu.edu,2/13/22,2,Not Bad
cbarnhart1t@nsu.edu,glibbie7q@nsu.edu,7/16/21,3,Not Bad
hpuleque1u@nsu.edu,emillhill6q@nsu.edu,2/19/22,2,Not Bad
cadamowicz1v@nsu.edu,iciobotarujm@nsu.edu,9/15/21,5,Awesome
ahilland1w@nsu.edu,mfairhamf0@nsu.edu,7/17/21,2,Not Bad
idelaprelle1x@nsu.edu,gnorecb@nsu.edu,11/11/21,2,Not Bad
sdavid1y@nsu.edu,rgoulbornegn@nsu.edu,2/23/22,5,Awesome
lraccio1z@nsu.edu,bspencleyka@nsu.edu,12/4/21,2,Not Bad
tmoberley20@nsu.edu,hleroy7s@nsu.edu,12/4/21,4,Awesome
rbroadberrie21@nsu.edu,dbrigstocko2@nsu.edu,2/21/22,1,Bad
vshingfield22@nsu.edu,nlarhamap@nsu.edu,12/8/21,5,Awesome
knoni23@nsu.edu,mcrumlyfk@nsu.edu,4/14/21,1,Bad
tlinning29@nsu.edu,jcarvil9@economist.com,2/2/22,3,Not Bad
rbulluck24@nsu.edu,jcarvil9@economist.com,10/7/21,2,Not Bad
tthorogood2o@nsu.edu,mickowics63@nsu.edu,1/5/22,1,Bad
dthorowgood2p@nsu.edu,qricardoufm@nsu.edu,4/1/21,2,Not Bad
bsuddock2q@nsu.edu,ogajownikly@nsu.edu,7/17/21,1,Bad
rjosefovic2r@nsu.edu,oreppaportr0@nsu.edu,3/13/21,4,Awesome
awhiskerd2s@nsu.edu,ccaldeiropf@nsu.edu,5/4/21,2,Not Bad
ttremollet2t@nsu.edu,kmusslewhitedp@nsu.edu,10/20/21,2,Not Bad
pbowsher2u@nsu.edu,dparlettkw@nsu.edu,1/2/22,4,Awesome
