dvolettb@nsu.edu,nrideoutmi@nsu.edu,315,Good
arubertelli0@nsu.edu,nrideoutmi@nsu.edu,270,Moderate
tdoveston1@nsu.edu,ndutchburnel@nsu.edu,317,Bad
dcavilla7@nsu.edu,wlaurancegt@nsu.edu,91,Worth the Money
fenrrico4@nsu.edu,wlaurancegt@nsu.edu,124,Moderate
alemar2@nsu.edu,wlaurancegt@nsu.edu,225,Good
igetley3@nsu.edu,rdichee@adobe.com,6,Worth the Money
fenrrico4@nsu.edu,dmccritchiej3@nsu.edu,109,Good
asaveryy@nsu.edu,lbyrdgk@nsu.edu,79,Moderate
tschinettiz@nsu.edu,mlempertz10@yandex.ru,376,Worth the Money
ecancelier10@nsu.edu,zcowl7l@nsu.edu,174,Worth the Money
echristescu11@nsu.edu,asimonsen7z@nsu.edu,394,Worth the Money
mbrumby12@nsu.edu,pslidders4f@nsu.edu,66,Worth the Money
hbickell13@nsu.edu,awillderjq@nsu.edu,205,Good
mgorgen14@nsu.edu,avenablesi@salon.com,187,Worth the Money
dmetson15@nsu.edu,cmcallof@nsu.edu,296,Good
cbacop16@nsu.edu,lsekulla8w@nsu.edu,95,Bad
baddeycott17@nsu.edu,atorrejon3c@nsu.edu,52,Bad
bbauldrey18@nsu.edu,hmccurts@vinaora.com,93,Moderate
scallinan19@nsu.edu,alillecrop1u@about.com,197,Bad
tdomingues1a@nsu.edu,ofumagalliqv@nsu.edu,193,Bad
smahony1b@nsu.edu,wsemechikci@nsu.edu,112,Worth the Money
pcondon1c@nsu.edu,ttremollet2t@nsu.edu,221,Moderate
elosebie1j@nsu.edu,kkiesselhe@nsu.edu,224,Worth the Money
lthursby1k@nsu.edu,tkorting48@nsu.edu,323,Worth the Money
hraffin1l@nsu.edu,mbuesdennk@nsu.edu,253,Moderate
ajancey1m@nsu.edu,rcayton5r@nsu.edu,100,Worth the Money
sbecks1n@nsu.edu,selliker1v@ibm.com,188,Moderate
dfahrenbach1o@nsu.edu,rstanwixm3@nsu.edu,145,Good
ehaglinton1p@nsu.edu,ehaspineallfb@nsu.edu,269,Bad
sdavid1y@nsu.edu,rgoulbornegn@nsu.edu,499,Good
lraccio1z@nsu.edu,bspencleyka@nsu.edu,217,Moderate
tmoberley20@nsu.edu,hleroy7s@nsu.edu,293,Worth the Money
rbroadberrie21@nsu.edu,dbrigstocko2@nsu.edu,353,Worth the Money
vshingfield22@nsu.edu,nlarhamap@nsu.edu,298,Worth the Money
knoni23@nsu.edu,mcrumlyfk@nsu.edu,395,Worth the Money
tlinning29@nsu.edu,jcarvil9@economist.com,199,Bad
rbulluck24@nsu.edu,jcarvil9@economist.com,396,Bad
tsolman25@nsu.edu,jboultwoodre@nsu.edu,198,Moderate
rvedntyev26@nsu.edu,jcory4w@nsu.edu,286,Worth the Money
jturmel27@nsu.edu,pkirklandrq@nsu.edu,214,Moderate
lrosel28@nsu.edu,rkorneichikbg@nsu.edu,340,Worth the Money
tlinning29@nsu.edu,aforsythay@nsu.edu,162,Good
nfazackerley2a@nsu.edu,kperle7k@nsu.edu,256,Moderate
gbenezet2b@nsu.edu,cpaulone4@nsu.edu,343,Good
delnaugh2c@nsu.edu,solooneybx@nsu.edu,264,Worth the Money
afrancecione2d@nsu.edu,tdairtonp8@nsu.edu,140,Moderate
cbernardot2e@nsu.edu,feeles4r@nsu.edu,10,Moderate
dfeige2f@nsu.edu,bmaclaverty2v@nsu.edu,400,Bad
ebowcock2g@nsu.edu,lstuddeard7r@nsu.edu,384,Bad
amorrant2h@nsu.edu,rburtwistler8@nsu.edu,326,Good
lmorrieson2i@nsu.edu,cmabbsdt@nsu.edu,102,Good
qjakoubec2j@nsu.edu,fdeans6l@nsu.edu,238,Good
sfurmston2k@nsu.edu,bmalbonee@nsu.edu,339,Worth the Money
bmaclaverty2v@nsu.edu,msprackling43@nsu.edu,92,Moderate
amcpartlin2w@nsu.edu,tandino92@nsu.edu,154,Bad
lthackham2x@nsu.edu,jwooderson5q@nsu.edu,19,Moderate
bbywaters2y@nsu.edu,jgarrood8v@nsu.edu,265,Worth the Money
